,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9141414141414141,0.9057971014492754,0.9689922480620154,0.9363295880149812,0.8975396022918773
Random Forest,0.9242424242424242,0.9253731343283582,0.9612403100775194,0.9429657794676806,0.908830468486687
XGBoost,0.9242424242424242,0.9253731343283582,0.9612403100775194,0.9429657794676806,0.902707560948208
